device_id,parent_id,name,type,entity_id,unit,zone,location,logical_role,is_enabled,is_virtual,criticality,source,notes
6.20,6,Frost protection,switch,switch.termostat_veranda_frost_protection,on/off,veranda,Веранда,frost_protection_switch,true,false,normal,devices_source_full,Защита от замерзания
6.21,6,Temperature correction,number,number.termostat_veranda_temperature_correction,,veranda,Веранда,temperature_correction_number,true,false,low,devices_source_full,Калибровка температуры
7,0,Зашторивание,device,,,window_zone,Окно,device_7,true,true,low,devices_source_full,Управление шторой
7.22,7,Штора,cover,cover.wifi_curtain_driver_converter_curtain,open/closed,window_zone,Окно,main_curtain,true,false,normal,devices_source_full,Светоотражающая штора
7.23,7,Режим двигателя,select,select.wifi_curtain_driver_converter_motor_mode,,window_zone,Окно,режим_двигателя_select,true,false,low,devices_source_full,Настройки привода
8,0,Датчик дыма у щитка,device,,,power_system,Над щитком,device_8,true,true,low,devices_source_full,Пожарная безопасность
8.24,8,Дым,smoke,binary_sensor.dymovoi_signalizator_2_smoke,on/off,power_system,Над щитком,fire_smoke_panel,true,false,critical,devices_source_full,Сигнал пожара
8.25,8,Батарея,battery,sensor.dymovoi_signalizator_2_battery,%,power_system,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
8.26,8,Tamper,tamper,binary_sensor.dymovoi_signalizator_2_tamper,on/off,power_system,Внутри датчика,tamper_sensor,true,false,low,devices_source_full,Вскрытие
9,0,Датчик утечки воды,device,,,water_system,Пол у канистр,device_9,true,true,low,devices_source_full,Защита от протечек
9.27,9,Влага,moisture,binary_sensor.datchik_utechki_vody_moisture,on/off,water_system,Пол,main_leak_sensor,true,false,critical,devices_source_full,Обнаружение воды
9.28,9,Батарея,battery,sensor.datchik_utechki_vody_battery,%,water_system,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
10,0,Датчик поверхности (низ большой белый),device,,,low_rack,Большой белый горшок,device_10,true,true,low,devices_source_full,Мониторинг почвы
10.29,10,Влажность,sensor,sensor.ogurets_vertikalnyi_humidity,%,low_rack,Поверхность грунта,влажность_sensor,true,false,normal,devices_source_full,Верхний слой почвы
10.30,10,Температура,sensor,sensor.ogurets_vertikalnyi_temperature,°C,low_rack,Поверхность грунта,температура_sensor,true,false,normal,devices_source_full,Температура поверхности
10.31,10,Батарея,battery,sensor.ogurets_vertikalnyi_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
11,0,Серый горшок (низ основной),device,,,low_rack,Серый горшок,device_11,true,true,low,devices_source_full,Мониторинг почвы
11.32,11,Влажность,sensor,sensor.klubnika_poliv_niz_seryi_humidity,%,low_rack,Внутри грунта,влажность_sensor,true,false,normal,devices_source_full,Основная влажность
11.33,11,Батарея,battery,sensor.klubnika_poliv_niz_seryi_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
11.34,11,Температура,sensor,sensor.klubnika_poliv_niz_seryi_temperature,°C,low_rack,Внутри грунта,температура_sensor,true,false,normal,devices_source_full,Температура почвы
12,0,Большой белый (низ основной),device,,,low_rack,Большой белый горшок,device_12,true,true,low,devices_source_full,Мониторинг почвы
12.35,12,Влажность,sensor,sensor.klubnika_vlazhnost_niz_belyi_humidity,%,low_rack,Внутри грунта,влажность_sensor,true,false,normal,devices_source_full,Основная влажность
12.36,12,Температура,sensor,sensor.klubnika_vlazhnost_niz_belyi_temperature,°C,low_rack,Внутри грунта,температура_sensor,true,false,normal,devices_source_full,Температура почвы
12.37,12,Батарея,battery,sensor.klubnika_vlazhnost_niz_belyi_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
13,0,Воздух у корней (низ большой белый),device,,,low_rack,Большой белый горшок,device_13,true,true,low,devices_source_full,Мониторинг воздуха
13.38,13,Влажность воздуха,sensor,sensor.vlazhnost_nizhnii_gorshok_belyi_humidity,%,low_rack,Поверхность грунта,влажность_воздуха_sensor,true,false,normal,devices_source_full,Прикорневая влажность
13.39,13,Температура воздуха,sensor,sensor.vlazhnost_nizhnii_gorshok_belyi_temperature,°C,low_rack,Поверхность грунта,температура_воздуха_sensor,true,false,normal,devices_source_full,Температура у корней
13.40,13,Батарея,battery,sensor.vlazhnost_nizhnii_gorshok_belyi_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
14,0,Круглый горшок у окна (низ),device,,,low_rack_window,Круглый горшок,device_14,true,true,low,devices_source_full,Мониторинг почвы
14.41,14,Влажность,sensor,sensor.sgs01_4_humidity,%,low_rack_window,Внутри грунта,влажность_sensor,true,false,normal,devices_source_full,Основная влажность
14.42,14,Температура,sensor,sensor.sgs01_4_temperature,°C,low_rack_window,Внутри грунта,температура_sensor,true,false,normal,devices_source_full,Температура почвы
14.43,14,Батарея,battery,sensor.sgs01_4_battery,%,low_rack_window,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
15,0,Верх дальний (поверхность),device,,,top_rack,Дальний горшок верха,device_15,true,true,low,devices_source_full,Мониторинг почвы
15.44,15,Влажность,sensor,sensor.vlazhnost_klubnika_verkh_chernyi_humidity,%,top_rack,Поверхность грунта,влажность_sensor,true,false,normal,devices_source_full,Верхний слой
15.45,15,Температура,sensor,sensor.vlazhnost_klubnika_verkh_chernyi_temperature,°C,top_rack,Поверхность грунта,температура_sensor,true,false,normal,devices_source_full,Температура поверхности
15.46,15,Батарея,battery,sensor.vlazhnost_klubnika_verkh_chernyi_battery,%,top_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
16,0,Верх дальний (основной),device,,,top_rack,Дальний горшок верха,device_16,true,true,low,devices_source_full,Мониторинг почвы
16.47,16,Влажность,sensor,sensor.datchik_vlazhnosti_spotifilum_humidity,%,top_rack,Внутри грунта,влажность_sensor,true,false,normal,devices_source_full,Основная влажность
16.48,16,Температура,sensor,sensor.datchik_vlazhnosti_spotifilum_temperature,°C,top_rack,Внутри грунта,температура_sensor,true,false,normal,devices_source_full,Температура почвы
16.49,16,Батарея,battery,sensor.datchik_vlazhnosti_spotifilum_battery,%,top_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
17,0,Низ круглый (поверхность),device,,,low_rack,Круглый горшок низа,device_17,true,true,low,devices_source_full,Мониторинг почвы
17.50,17,Влажность,sensor,sensor.vlazhnost_humidity,%,low_rack,Поверхность грунта,влажность_sensor,true,false,normal,devices_source_full,Верхний слой
17.51,17,Температура,sensor,sensor.vlazhnost_temperature,°C,low_rack,Поверхность грунта,температура_sensor,true,false,normal,devices_source_full,Температура поверхности
17.52,17,Батарея,battery,sensor.vlazhnost_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
18,0,Верх у окна (поверхность),device,,,top_rack_window,Горшок у окна верха,device_18,true,true,low,devices_source_full,Мониторинг почвы
18.53,18,Влажность,sensor,sensor.chernyi_poverkhnost_u_okna_humidity,%,top_rack_window,Поверхность грунта,влажность_sensor,true,false,normal,devices_source_full,Верхний слой
18.54,18,Температура,sensor,sensor.chernyi_poverkhnost_u_okna_temperature,°C,top_rack_window,Поверхность грунта,температура_sensor,true,false,normal,devices_source_full,Температура поверхности
18.55,18,Батарея,battery,sensor.chernyi_poverkhnost_u_okna_battery,%,top_rack_window,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
19,0,Верх у окна (основной),device,,,top_rack_window,Горшок у окна верха,device_19,true,true,low,devices_source_full,Мониторинг почвы
19.56,19,Влажность,sensor,sensor.klubnika_verkh_u_okna_humidity,%,top_rack_window,Внутри грунта,влажность_sensor,true,false,normal,devices_source_full,Основная влажность
19.57,19,Температура,sensor,sensor.klubnika_verkh_u_okna_temperature,°C,top_rack_window,Внутри грунта,температура_sensor,true,false,normal,devices_source_full,Температура почвы
19.58,19,Батарея,battery,sensor.klubnika_verkh_u_okna_battery,%,top_rack_window,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
20,0,Верх дальний (воздух у корней),device,,,top_rack,Дальний горшок верха,device_20,true,true,low,devices_source_full,Мониторинг воздуха
20.59,20,Влажность воздуха,sensor,sensor.datchik_vlazhnosti_verkh_humidity,%,top_rack,Поверхность грунта,влажность_воздуха_sensor,true,false,normal,devices_source_full,Прикорневая влажность
20.60,20,Температура воздуха,sensor,sensor.datchik_vlazhnosti_verkh_temperature,°C,top_rack,Поверхность грунта,температура_воздуха_sensor,true,false,normal,devices_source_full,Температура у корней
20.61,20,Батарея,battery,sensor.datchik_vlazhnosti_verkh_battery,%,top_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
21,0,Микроклимат низа (у листьев),device,,,low_rack,Нижний ярус,device_21,true,true,low,devices_source_full,Климат у листьев
21.62,21,Влажность у листьев,sensor,sensor.temperature_and_humidity_sensor_humidity,%,low_rack,Над кустом,leaf_humidity_low,true,false,normal,devices_source_full,Влажность воздуха
21.63,21,Температура у листьев,sensor,sensor.temperature_and_humidity_sensor_temperature,°C,low_rack,Над кустом,leaf_temperature_low,true,false,normal,devices_source_full,Температура воздуха
21.64,21,Батарея,battery,sensor.temperature_and_humidity_sensor_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
22,0,Микроклимат верха (у листьев),device,,,top_rack,Верхний ярус,device_22,true,true,low,devices_source_full,Климат у листьев
22.65,22,Влажность у листьев,sensor,sensor.temperature_and_humidity_sensor_2_humidity,%,top_rack,Над кустом,leaf_humidity_high,true,false,normal,devices_source_full,Самый важный датчик
22.66,22,Температура у листьев,sensor,sensor.temperature_and_humidity_sensor_2_temperature,°C,top_rack,Над кустом,leaf_temperature_high,true,false,normal,devices_source_full,Температура воздуха
22.67,22,Батарея,battery,sensor.temperature_and_humidity_sensor_2_battery,%,top_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Критическое питание
23,0,Датчик освещения низ,device,,,low_rack,Нижний ярус,device_23,true,true,low,devices_source_full,Тестовый датчик
23.68,23,Освещенность,sensor,sensor.luminance_sensor_illuminance,lx,low_rack,Нижний ярус,освещенность_sensor,true,false,normal,devices_source_full,Только для проверки
23.69,23,Батарея,battery,sensor.luminance_sensor_battery,%,low_rack,Внутри датчика,батарея_battery,true,false,normal,devices_source_full,Питание
